LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
23.5,27.5,2023,1,16.74,11.51,18.2,6.18,0.0,62.79,4.36,2.83,5.67
23.5,32.5,2023,1,16.89,14.58,22.36,8.04,0.0,49.39,2.74,1.65,3.77
24.5,27.5,2023,1,15.94,10.74,17.43,5.71,0.0,67.9,4.05,2.82,5.86
24.5,32.5,2023,1,16.48,13.42,22.28,6.72,0.0,50.97,2.34,1.43,3.16
25.5,27.5,2023,1,15.76,11.72,18.16,7.39,0.01,67.2,3.79,2.37,5.84
25.5,32.5,2023,1,15.84,12.34,21.6,5.42,0.0,57.39,1.97,1.5,2.94
26.5,27.5,2023,1,15.12,12.57,19.05,8.4,0.01,68.68,3.42,2.06,5.63
26.5,32.5,2023,1,15.29,12.41,21.44,5.58,0.0,56.0,1.48,0.29,1.91
27.5,27.5,2023,1,14.3,12.86,18.74,9.1,0.02,70.36,3.22,1.78,5.44
27.5,32.5,2023,1,14.63,12.67,20.98,5.82,0.0,54.77,1.69,0.8,2.77
28.5,27.5,2023,1,13.52,13.26,19.04,8.42,0.11,72.14,2.98,1.38,4.92
28.5,32.5,2023,1,13.73,12.39,20.54,7.54,0.07,68.19,1.91,1.37,3.21
29.5,27.5,2023,1,12.13,14.82,21.11,9.81,0.05,70.54,3.06,1.35,5.18
29.5,32.5,2023,1,12.9,14.93,20.09,11.81,0.16,75.58,2.73,1.54,3.45
30.5,27.5,2023,1,10.79,13.83,17.83,10.04,0.27,71.64,3.78,1.92,5.59
30.5,32.5,2023,1,10.92,15.08,21.41,10.81,0.09,73.22,2.6,1.41,4.05
31.5,27.5,2023,1,9.04,17.26,17.77,16.84,2.22,71.2,5.39,4.33,5.85
31.5,32.5,2023,1,8.67,19.22,19.86,18.49,0.17,71.52,6.05,4.82,8.5
23.5,27.5,2023,2,16.36,11.36,18.42,5.84,0.0,61.76,3.95,2.37,5.26
23.5,32.5,2023,2,17.12,14.65,22.75,7.83,0.0,51.29,2.82,1.74,3.89
24.5,27.5,2023,2,15.79,10.39,17.24,5.02,0.0,68.42,3.65,2.45,5.53
24.5,32.5,2023,2,16.66,13.65,22.09,7.07,0.0,57.24,2.43,1.37,3.49
25.5,27.5,2023,2,15.63,10.81,17.57,5.43,0.0,69.75,3.22,1.86,5.49
