LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
23.5,27.5,2024,1,16.88,12.77,20.31,7.04,0.0,58.18,2.73,1.65,3.87
23.5,32.5,2024,1,16.95,17.19,24.74,10.83,0.0,51.28,3.06,1.55,4.42
24.5,27.5,2024,1,16.27,11.64,18.79,6.1,0.0,62.25,2.39,1.5,3.61
24.5,32.5,2024,1,16.46,15.96,23.56,10.0,0.0,56.44,2.92,1.33,4.25
25.5,27.5,2024,1,15.46,11.86,18.96,6.36,0.0,62.0,1.98,1.08,3.26
25.5,32.5,2024,1,15.53,15.38,23.45,9.04,0.0,60.24,2.45,1.39,3.56
26.5,27.5,2024,1,15.22,12.37,19.58,6.87,0.0,58.34,1.95,1.24,3.35
26.5,32.5,2024,1,14.9,15.08,22.97,9.58,0.0,62.35,2.39,1.5,3.3
27.5,27.5,2024,1,14.18,12.54,19.48,7.49,0.0,57.72,1.87,1.22,3.38
27.5,32.5,2024,1,14.69,13.68,20.95,9.02,0.0,67.61,2.37,0.85,3.92
28.5,27.5,2024,1,13.55,13.26,19.62,9.11,0.0,55.22,1.56,0.83,3.14
28.5,32.5,2024,1,14.27,12.85,18.15,9.73,0.0,78.09,2.85,1.4,4.97
29.5,27.5,2024,1,13.13,15.21,21.47,10.83,0.0,53.19,1.2,0.39,2.42
29.5,32.5,2024,1,13.44,15.72,19.96,12.65,0.01,78.31,3.3,2.39,4.44
30.5,27.5,2024,1,11.49,13.6,19.36,10.42,0.0,65.74,1.38,0.18,2.98
30.5,32.5,2024,1,12.13,15.34,20.68,11.22,0.08,80.0,1.63,0.85,2.49
31.5,27.5,2024,1,9.01,18.06,19.35,17.12,0.0,66.41,4.01,1.99,5.33
31.5,32.5,2024,1,9.61,18.59,18.92,18.07,0.07,75.16,2.45,1.92,3.06
23.5,27.5,2024,2,16.98,11.72,19.2,6.01,0.0,51.36,2.92,1.48,4.16
23.5,32.5,2024,2,16.9,16.49,23.74,10.39,0.0,53.31,3.7,2.06,5.27
24.5,27.5,2024,2,16.42,10.87,18.41,5.04,0.0,55.09,2.4,1.58,3.56
24.5,32.5,2024,2,16.48,15.54,23.02,9.66,0.0,55.05,3.91,1.98,5.66
25.5,27.5,2024,2,15.73,11.36,18.79,5.61,0.0,54.77,1.92,1.27,2.92
25.5,32.5,2024,2,15.62,15.32,23.64,8.73,0.0,56.77,3.48,1.99,5.44
26.5,27.5,2024,2,15.14,11.99,19.8,6.08,0.0,54.21,1.73,1.18,2.51
26.5,32.5,2024,2,15.15,14.95,22.94,8.87,0.0,59.73,3.4,2.05,5.36
27.5,27.5,2024,2,15.29,12.02,19.84,6.4,0.0,55.88,1.63,1.08,2.36
27.5,32.5,2024,2,15.15,13.37,20.52,8.23,0.0,68.51,3.81,2.32,5.74
28.5,27.5,2024,2,14.64,12.82,19.64,7.83,0.0,54.59,1.42,0.89,2.34
28.5,32.5,2024,2,14.36,12.69,18.49,8.94,0.0,78.21,3.46,2.15,5.69
29.5,27.5,2024,2,13.66,14.6,21.66,9.41,0.0,52.88,1.43,0.75,2.57
29.5,32.5,2024,2,12.94,16.15,19.86,12.97,0.01,78.33,3.54,2.45,4.81
30.5,27.5,2024,2,13.62,12.94,20.09,7.99,0.0,60.22,2.2,1.52,3.7
30.5,32.5,2024,2,12.37,15.16,20.7,10.64,0.14,82.38,2.18,1.15,3.93
31.5,27.5,2024,2,11.98,18.51,19.71,17.72,0.0,65.47,4.67,3.51,5.62
31.5,32.5,2024,2,10.89,18.72,19.63,17.92,0.3,77.82,4.06,3.37,4.79
23.5,27.5,2024,3,17.36,12.13,20.13,5.8,0.0,54.0,2.42,1.31,4.02
23.5,32.5,2024,3,17.24,16.66,24.36,9.95,0.0,50.06,2.91,1.5,4.4
24.5,27.5,2024,3,16.83,11.4,19.32,5.27,0.0,58.72,2.04,1.37,3.2
24.5,32.5,2024,3,16.78,15.67,23.72,9.44,0.0,54.53,2.51,1.16,3.8
25.5,27.5,2024,3,15.76,11.69,19.41,5.78,0.0,59.96,1.71,1.06,2.69
25.5,32.5,2024,3,16.06,15.7,24.3,8.57,0.0,57.37,2.08,1.2,3.27
26.5,27.5,2024,3,15.13,12.11,20.11,6.01,0.0,60.45,1.65,1.06,2.31
26.5,32.5,2024,3,15.43,15.52,23.64,9.82,0.0,58.92,2.32,1.03,4.32
