LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
23.5,32.5,2022,4,17.26,14.37,21.89,8.24,0.0,57.68,3.31,2.06,4.23
24.5,27.5,2022,4,16.01,10.42,17.25,5.08,0.0,71.13,2.23,1.38,3.52
24.5,32.5,2022,4,16.9,13.26,21.08,7.08,0.0,61.29,2.81,1.74,3.45
25.5,27.5,2022,4,16.46,10.83,17.54,5.46,0.0,71.61,1.82,1.23,3.13
25.5,32.5,2022,4,15.98,12.78,21.1,6.06,0.0,64.42,2.22,1.24,2.94
26.5,27.5,2022,4,15.82,11.49,18.27,5.96,0.0,71.75,1.73,1.19,3.18
26.5,32.5,2022,4,15.55,12.58,20.62,6.41,0.0,63.94,2.34,1.47,3.17
27.5,27.5,2022,4,15.72,11.48,17.79,5.94,0.0,72.88,1.65,1.0,2.89
27.5,32.5,2022,4,15.56,10.9,18.71,5.21,0.0,70.25,2.2,1.58,3.15
28.5,27.5,2022,4,15.26,11.8,17.83,6.93,0.0,71.73,1.71,1.0,3.42
28.5,32.5,2022,4,14.75,10.3,17.08,6.16,0.02,76.99,2.04,1.27,3.96
29.5,27.5,2022,4,14.47,13.22,19.84,8.44,0.0,71.27,1.82,0.63,3.55
29.5,32.5,2022,4,13.16,13.68,18.08,10.73,0.03,73.52,2.24,1.43,3.75
30.5,27.5,2022,4,13.86,11.22,17.72,6.19,0.01,76.35,2.28,1.16,4.84
30.5,32.5,2022,4,12.87,12.82,18.91,7.59,0.09,76.56,1.84,0.53,4.16
31.5,27.5,2022,4,12.04,16.35,17.86,15.36,0.31,75.79,5.25,3.89,6.36
31.5,32.5,2022,4,10.75,17.28,18.06,16.24,0.15,73.76,4.86,3.04,6.0
23.5,27.5,2022,5,16.98,11.06,17.5,5.61,0.0,59.27,2.15,1.16,3.43
23.5,32.5,2022,5,16.3,14.47,21.63,7.8,0.0,51.88,3.22,1.3,4.56
24.5,27.5,2022,5,17.03,10.28,17.08,4.58,0.0,63.03,1.62,1.18,2.78
24.5,32.5,2022,5,16.66,12.92,20.78,6.68,0.0,56.17,2.44,1.0,3.8
25.5,27.5,2022,5,16.68,10.92,17.3,5.25,0.0,63.34,1.34,0.99,2.11
25.5,32.5,2022,5,16.63,12.41,21.05,5.55,0.0,58.13,1.64,0.49,2.63
26.5,27.5,2022,5,16.27,11.66,17.74,6.45,0.0,62.73,1.08,0.65,1.64
26.5,32.5,2022,5,16.34,12.32,20.75,5.61,0.0,54.58,1.81,0.42,3.1
27.5,27.5,2022,5,15.51,11.93,17.03,7.9,0.0,62.57,0.72,0.04,1.31
27.5,32.5,2022,5,16.13,11.01,19.67,3.7,0.0,59.73,1.7,0.49,3.44
28.5,27.5,2022,5,15.32,11.84,16.96,7.64,0.0,64.05,0.86,0.17,1.55
28.5,32.5,2022,5,15.43,9.76,16.97,4.34,0.0,72.49,1.94,1.26,3.47
29.5,27.5,2022,5,14.54,12.4,18.34,7.26,0.01,71.12,1.05,0.19,2.36
29.5,32.5,2022,5,14.55,13.48,18.34,9.98,0.0,67.78,2.41,1.59,3.09
30.5,27.5,2022,5,13.2,10.89,16.27,5.85,0.0,77.18,1.5,0.26,2.94
30.5,32.5,2022,5,13.54,12.47,19.39,8.09,0.0,72.88,1.16,0.24,1.66
31.5,27.5,2022,5,11.22,15.54,16.42,14.74,0.13,71.51,3.66,2.16,5.04
31.5,32.5,2022,5,12.25,17.37,17.87,17.06,0.09,70.46,2.75,0.93,4.94
23.5,27.5,2022,6,17.61,11.98,18.1,5.59,0.0,45.87,1.14,0.08,2.14
23.5,32.5,2022,6,14.27,15.84,22.92,9.5,0.01,48.55,2.52,0.55,4.24
24.5,27.5,2022,6,16.97,11.06,17.58,6.04,0.0,49.42,1.07,0.5,1.53
24.5,32.5,2022,6,14.28,14.11,22.18,7.68,0.0,46.94,1.87,0.59,3.23
25.5,27.5,2022,6,15.78,11.33,18.1,5.38,0.0,52.44,1.29,0.54,2.02
25.5,32.5,2022,6,15.61,14.23,23.48,7.02,0.0,46.75,1.36,0.98,2.25
26.5,27.5,2022,6,14.17,11.57,18.33,5.57,0.0,54.07,1.41,0.55,2.36
26.5,32.5,2022,6,15.9,13.73,22.96,6.21,0.0,49.07,1.62,1.1,2.78
27.5,27.5,2022,6,12.92,10.82,17.23,5.32,0.0,59.84,1.61,0.47,2.95
27.5,32.5,2022,6,15.97,13.11,21.86,6.22,0.0,47.24,1.79,1.12,2.99
28.5,27.5,2022,6,12.31,11.4,17.03,5.69,0.0,61.08,1.62,0.29,3.36
28.5,32.5,2022,6,13.84,12.91,21.29,6.25,0.0,53.16,1.1,0.18,2.57
29.5,27.5,2022,6,10.85,12.28,17.69,6.92,0.0,62.18,1.35,0.28,2.52
29.5,32.5,2022,6,13.9,15.14,20.33,10.28,0.0,55.97,1.16,0.51,1.78
30.5,27.5,2022,6,9.81,10.28,14.43,6.47,0.0,73.19,1.31,0.12,3.32
30.5,32.5,2022,6,13.19,13.71,21.2,7.38,0.14,68.98,1.51,0.31,2.99
31.5,27.5,2022,6,7.36,15.25,15.85,14.65,0.0,64.85,2.9,1.74,4.75
31.5,32.5,2022,6,10.76,17.58,18.39,17.22,3.73,78.08,2.48,1.01,3.56
23.5,27.5,2022,7,14.83,14.54,22.21,7.82,0.0,32.59,1.39,1.04,1.82
23.5,32.5,2022,7,13.57,17.89,24.35,10.84,0.0,39.25,1.38,0.43,2.93
24.5,27.5,2022,7,16.07,13.62,22.31,6.42,0.0,33.16,1.44,0.53,2.08
24.5,32.5,2022,7,16.03,16.47,24.26,9.61,0.0,38.39,1.48,0.78,3.01
25.5,27.5,2022,7,16.2,13.45,22.24,6.18,0.0,35.5,1.48,0.29,2.42
25.5,32.5,2022,7,16.31,15.03,23.86,7.71,0.0,39.15,1.56,1.02,2.63
26.5,27.5,2022,7,15.95,13.22,22.2,6.1,0.0,40.13,1.6,0.74,2.86
26.5,32.5,2022,7,15.98,14.76,23.06,8.28,0.0,35.96,1.49,0.98,2.2
27.5,27.5,2022,7,15.02,11.7,21.0,5.02,0.0,50.75,1.94,1.02,3.31
27.5,32.5,2022,7,16.11,14.15,20.97,9.43,0.0,34.38,1.37,0.5,2.26
28.5,27.5,2022,7,15.32,11.74,20.0,5.66,0.0,55.62,2.22,1.11,3.98
28.5,32.5,2022,7,15.48,13.35,20.48,8.84,0.0,39.87,1.04,0.54,1.6
29.5,27.5,2022,7,14.23,12.22,20.33,5.95,0.0,59.94,1.83,1.07,3.08
29.5,32.5,2022,7,14.62,15.59,20.49,11.95,0.0,47.92,1.2,0.73,1.45
30.5,27.5,2022,7,12.91,9.78,16.98,4.56,0.0,73.79,1.76,1.12,2.67
30.5,32.5,2022,7,13.03,14.34,20.99,9.07,0.01,50.8,1.14,0.33,1.93
31.5,27.5,2022,7,12.02,15.61,16.99,14.51,0.0,62.22,2.99,2.31,4.73
31.5,32.5,2022,7,11.53,17.43,18.31,16.93,0.03,71.71,1.68,1.06,2.56
23.5,27.5,2022,8,15.24,17.36,25.98,10.88,0.01,36.94,2.93,1.16,5.54
23.5,32.5,2022,8,11.48,18.88,24.8,13.68,0.0,31.68,1.4,0.82,2.22
24.5,27.5,2022,8,15.04,16.05,25.5,8.79,0.01,34.47,3.34,1.69,5.26
24.5,32.5,2022,8,13.02,17.36,25.05,12.7,0.0,28.96,1.58,0.64,2.9
25.5,27.5,2022,8,15.63,15.4,25.29,8.64,0.0,33.75,3.93,1.99,5.7
25.5,32.5,2022,8,13.97,16.82,26.19,10.27,0.0,29.46,1.53,0.45,3.01
26.5,27.5,2022,8,15.13,14.52,25.23,7.99,0.0,36.73,3.84,2.01,6.24
26.5,32.5,2022,8,15.02,16.68,24.98,10.66,0.0,27.53,1.55,0.82,3.2
27.5,27.5,2022,8,15.24,13.2,23.43,7.32,0.0,45.0,3.99,2.1,6.31
27.5,32.5,2022,8,15.13,15.22,23.59,10.57,0.0,28.13,1.55,0.12,4.03
28.5,27.5,2022,8,14.68,13.13,22.29,8.63,0.0,48.74,4.62,2.55,7.41
28.5,32.5,2022,8,14.25,13.91,23.48,7.99,0.0,35.18,1.52,0.56,2.92
29.5,27.5,2022,8,13.86,13.31,23.29,7.46,0.0,51.64,3.82,2.25,6.11
29.5,32.5,2022,8,14.1,15.4,20.86,11.98,0.0,49.73,1.44,0.45,2.38
30.5,27.5,2022,8,12.77,10.43,19.72,4.42,0.0,63.18,3.13,1.77,5.29
30.5,32.5,2022,8,13.17,13.38,20.82,8.44,0.0,50.22,1.22,0.74,1.82
31.5,27.5,2022,8,11.9,15.93,19.12,13.58,0.0,69.9,5.88,4.75,7.69
31.5,32.5,2022,8,10.96,16.86,17.52,16.22,0.0,64.67,2.22,1.19,3.34
23.5,27.5,2022,9,12.74,13.43,18.29,9.49,0.15,31.9,3.82,1.45,5.66
23.5,32.5,2022,9,7.75,20.02,27.38,15.36,0.13,30.17,3.07,0.99,6.19
24.5,27.5,2022,9,12.66,11.31,16.51,7.18,0.0,39.12,3.36,1.54,5.87
24.5,32.5,2022,9,8.29,17.63,24.93,13.29,1.48,30.82,2.75,1.63,4.4
25.5,27.5,2022,9,12.15,10.4,16.09,6.21,0.0,45.89,3.5,1.57,6.15
25.5,32.5,2022,9,9.34,15.33,21.53,11.14,4.34,36.93,2.93,0.91,4.31
26.5,27.5,2022,9,13.86,10.09,16.45,5.63,0.0,47.8,3.79,1.87,6.87
26.5,32.5,2022,9,9.64,13.54,19.2,9.39,0.87,41.04,2.66,0.85,4.22
27.5,27.5,2022,9,14.82,9.55,16.19,4.96,0.0,51.21,4.41,2.71,8.14
27.5,32.5,2022,9,9.67,11.34,16.38,7.13,0.02,43.0,3.14,1.84,4.77
28.5,27.5,2022,9,14.87,9.95,15.96,5.94,0.0,53.16,5.26,3.29,8.67
28.5,32.5,2022,9,11.15,11.07,15.48,6.55,0.03,45.07,5.06,3.38,6.46
29.5,27.5,2022,9,12.96,10.69,16.97,5.42,0.0,57.01,5.55,3.15,9.58
29.5,32.5,2022,9,11.22,13.26,16.69,10.24,0.0,55.39,4.07,2.64,5.48
30.5,27.5,2022,9,12.0,8.9,14.47,4.01,0.0,68.53,5.97,2.73,10.13
30.5,32.5,2022,9,12.27,11.79,16.65,8.33,0.0,58.18,3.95,1.95,6.59
31.5,27.5,2022,9,10.36,14.15,15.65,12.83,0.0,75.0,9.42,6.9,11.44
31.5,32.5,2022,9,12.33,16.11,17.26,14.41,0.0,66.43,7.87,3.73,9.52
23.5,27.5,2022,10,18.24,10.78,18.39,3.62,0.0,28.33,2.36,0.2,3.9
23.5,32.5,2022,10,15.43,16.74,22.68,12.04,0.59,33.3,3.01,2.34,3.92
24.5,27.5,2022,10,17.24,9.16,16.81,2.61,0.0,32.83,2.8,1.2,4.55
24.5,32.5,2022,10,16.2,14.64,21.51,8.67,0.0,32.01,2.45,1.5,4.24
25.5,27.5,2022,10,17.04,9.04,16.48,3.48,0.0,35.1,3.23,1.45,5.21
25.5,32.5,2022,10,16.27,12.57,19.46,7.29,0.0,37.27,2.36,0.98,4.27
26.5,27.5,2022,10,16.56,9.31,16.86,3.86,0.0,38.45,3.49,1.64,5.67
26.5,32.5,2022,10,16.0,11.2,19.05,5.48,0.0,40.19,2.26,0.95,4.35
27.5,27.5,2022,10,14.62,9.14,16.17,4.02,0.0,45.64,3.79,1.99,6.32
27.5,32.5,2022,10,15.82,8.68,16.66,2.68,0.0,49.75,2.67,1.4,5.04
28.5,27.5,2022,10,13.94,9.66,16.12,4.85,0.0,55.29,4.76,2.73,7.12
28.5,32.5,2022,10,15.13,8.78,16.14,3.42,0.0,53.53,3.6,2.15,5.05
29.5,27.5,2022,10,12.84,10.97,17.63,5.56,0.0,58.68,5.14,3.57,7.36
29.5,32.5,2022,10,13.66,12.48,17.71,8.62,0.0,58.62,3.62,2.58,4.52
30.5,27.5,2022,10,11.68,9.2,15.1,5.6,0.0,73.57,5.45,4.35,7.72
30.5,32.5,2022,10,12.12,11.54,18.35,7.27,0.0,59.38,3.93,2.1,5.91
31.5,27.5,2022,10,8.66,14.22,16.69,12.52,0.0,75.34,9.19,8.35,10.59
31.5,32.5,2022,10,11.21,15.58,17.64,13.58,0.01,68.21,8.1,6.71,9.67
23.5,27.5,2022,11,17.66,11.49,20.27,5.25,0.0,19.73,1.77,0.73,3.64
23.5,32.5,2022,11,17.59,14.92,22.6,8.23,0.0,23.83,2.5,1.33,3.86
24.5,27.5,2022,11,17.1,10.82,20.16,2.99,0.0,21.76,2.17,1.23,3.98
24.5,32.5,2022,11,17.56,12.69,21.15,5.45,0.0,25.07,1.43,0.51,2.76
25.5,27.5,2022,11,17.34,11.54,20.24,3.9,0.0,24.95,2.66,1.03,4.44
25.5,32.5,2022,11,17.05,12.51,20.87,4.95,0.0,30.84,1.06,0.5,1.44
26.5,27.5,2022,11,16.68,10.97,20.24,4.23,0.0,28.52,3.31,1.64,5.36
26.5,32.5,2022,11,16.41,12.41,20.25,5.68,0.0,31.67,1.26,0.66,2.22
27.5,27.5,2022,11,15.4,10.39,19.56,4.3,0.0,33.75,3.73,2.09,6.44
27.5,32.5,2022,11,16.5,10.5,18.56,3.75,0.0,37.73,1.82,0.87,3.49
28.5,27.5,2022,11,15.89,11.02,19.08,5.91,0.0,37.38,5.1,2.94,7.38
28.5,32.5,2022,11,15.85,9.93,18.37,3.8,0.0,42.45,2.51,1.2,3.88
29.5,27.5,2022,11,14.27,11.67,19.99,5.84,0.0,40.59,4.81,2.97,7.36
29.5,32.5,2022,11,15.06,13.48,19.1,9.45,0.0,48.99,2.85,2.01,3.91
30.5,27.5,2022,11,13.08,8.72,16.63,3.02,0.0,55.16,4.45,2.58,6.99
30.5,32.5,2022,11,13.57,12.0,19.74,6.61,0.0,52.03,3.1,1.66,5.03
31.5,27.5,2022,11,11.5,14.23,17.91,11.04,0.01,65.02,8.31,7.38,9.13
31.5,32.5,2022,11,12.69,16.45,18.67,14.77,0.0,60.63,6.52,5.16,7.36
23.5,27.5,2022,12,16.12,13.33,22.87,6.18,0.0,16.55,1.55,0.82,2.72
23.5,32.5,2022,12,16.35,16.61,25.16,9.24,0.0,22.63,2.81,2.21,3.78
24.5,27.5,2022,12,15.16,12.47,21.74,6.6,0.0,18.71,1.85,1.19,2.59
24.5,32.5,2022,12,16.41,14.09,23.07,6.56,0.0,21.3,1.96,1.29,2.95
25.5,27.5,2022,12,14.25,12.12,21.02,6.05,0.0,24.32,2.2,1.62,3.53
25.5,32.5,2022,12,16.24,14.13,23.18,8.0,0.0,23.72,1.43,0.77,2.25
26.5,27.5,2022,12,13.2,11.76,20.36,5.7,0.0,32.07,2.48,1.54,3.94
26.5,32.5,2022,12,15.68,14.09,23.3,8.52,0.0,21.27,1.42,0.91,1.92
27.5,27.5,2022,12,12.9,11.08,18.28,6.21,0.0,39.32,2.44,1.36,4.07
27.5,32.5,2022,12,13.97,12.65,20.62,7.58,0.0,23.04,1.69,0.81,3.11
28.5,27.5,2022,12,12.45,11.53,18.19,7.12,0.0,44.88,2.94,1.51,5.15
28.5,32.5,2022,12,12.31,11.45,20.1,5.3,0.0,29.24,2.3,1.13,3.74
29.5,27.5,2022,12,10.93,11.89,18.99,7.32,0.0,52.02,3.1,1.86,6.13
29.5,32.5,2022,12,13.58,14.86,20.43,10.87,0.0,40.39,2.4,1.01,4.13
