LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M_MAX,WS2M_MAX,T2M_MIN_x,PRECTOTCORR,RH2M,T2M,WS2M,T2M_MIN_y
23.5,27.5,2024,106,28.19,30.35,5.76,14.5,0.0,22.09,22.11,3.78,14.5
23.5,32.5,2024,106,28.37,32.86,6.7,19.37,0.0,26.65,25.7,4.65,19.37
24.5,27.5,2024,106,28.78,29.41,5.25,14.22,0.0,24.15,21.29,3.53,14.22
24.5,32.5,2024,106,28.02,31.78,6.4,18.53,0.0,25.98,24.63,4.59,18.53
25.5,27.5,2024,106,28.73,29.43,4.76,14.92,0.0,25.21,21.51,3.15,14.92
25.5,32.5,2024,106,27.98,32.43,6.52,17.25,0.0,27.08,24.58,4.27,17.25
26.5,27.5,2024,106,28.73,29.52,4.4,15.64,0.0,27.55,21.94,3.0,15.64
26.5,32.5,2024,106,27.79,31.1,6.59,15.47,0.0,32.14,23.17,4.48,15.47
27.5,27.5,2024,106,28.52,28.76,4.3,14.01,0.0,35.4,21.42,2.89,14.01
27.5,32.5,2024,106,27.99,27.98,8.0,12.72,0.0,40.05,20.3,5.11,12.72
28.5,27.5,2024,106,27.97,29.76,3.75,13.29,0.0,42.5,21.32,2.69,13.29
28.5,32.5,2024,106,27.55,25.46,7.74,11.72,0.0,50.57,18.67,4.79,11.72
29.5,27.5,2024,106,25.96,32.64,5.1,12.93,0.04,47.16,22.84,3.44,12.93
29.5,32.5,2024,106,26.89,25.69,5.09,14.71,0.03,62.43,20.04,3.91,14.71
30.5,27.5,2024,106,25.54,28.37,6.42,13.89,0.09,61.46,20.12,4.56,13.89
30.5,32.5,2024,106,26.57,28.3,5.21,14.03,0.27,63.2,20.56,2.91,14.03
31.5,27.5,2024,106,24.81,21.24,5.99,18.1,0.08,86.57,19.54,4.38,18.1
31.5,32.5,2024,106,25.38,20.05,4.54,19.16,0.15,90.38,19.72,3.72,19.16
23.5,27.5,2024,107,28.58,31.79,3.66,14.69,0.0,18.43,23.77,1.94,14.69
23.5,32.5,2024,107,28.79,34.27,3.93,17.36,0.0,21.84,26.2,2.26,17.36
24.5,27.5,2024,107,28.09,30.25,3.04,14.77,0.0,22.08,22.35,1.69,14.77
24.5,32.5,2024,107,28.66,33.85,3.4,16.04,0.0,22.48,25.52,1.83,16.04
25.5,27.5,2024,107,28.34,30.49,2.65,15.55,0.0,24.38,22.59,1.6,15.55
25.5,32.5,2024,107,27.58,33.7,2.82,15.51,0.0,26.2,25.48,1.61,15.51
26.5,27.5,2024,107,28.4,30.52,2.76,15.51,0.0,25.71,23.05,1.63,15.51
26.5,32.5,2024,107,27.6,33.33,3.51,15.62,0.0,28.52,24.88,2.32,15.62
27.5,27.5,2024,107,28.4,31.29,3.6,14.36,0.0,27.41,23.25,2.0,14.36
27.5,32.5,2024,107,28.07,31.67,3.99,13.81,0.0,30.62,22.84,2.65,13.81
28.5,27.5,2024,107,27.84,31.38,3.82,13.54,0.0,32.71,22.62,2.26,13.54
28.5,32.5,2024,107,27.44,30.34,3.67,12.13,0.0,38.0,21.52,1.96,12.13
29.5,27.5,2024,107,26.88,32.46,3.84,13.83,0.0,43.33,23.56,2.39,13.83
29.5,32.5,2024,107,27.05,28.94,3.45,14.54,0.0,51.85,22.08,1.52,14.54
30.5,27.5,2024,107,26.19,30.15,4.14,12.17,0.0,50.44,20.89,2.71,12.17
30.5,32.5,2024,107,26.65,30.69,4.02,13.92,0.01,59.71,21.93,2.59,13.92
31.5,27.5,2024,107,23.24,22.52,5.86,17.76,0.01,79.64,20.01,3.92,17.76
31.5,32.5,2024,107,24.02,20.78,4.67,19.86,0.01,84.96,20.14,3.43,19.86
23.5,27.5,2024,108,28.82,36.65,2.17,18.58,0.0,14.79,27.09,1.27,18.58
23.5,32.5,2024,108,28.39,36.8,3.65,18.83,0.0,23.84,28.57,1.61,18.83
24.5,27.5,2024,108,28.21,36.54,3.7,17.4,0.0,15.26,26.36,1.87,17.4
24.5,32.5,2024,108,28.43,36.82,3.62,18.94,0.0,21.63,28.65,1.51,18.94
25.5,27.5,2024,108,28.42,36.49,4.78,15.59,0.0,17.13,26.15,3.03,15.59
25.5,32.5,2024,108,27.96,36.91,3.64,18.53,0.0,22.68,28.84,1.49,18.53
26.5,27.5,2024,108,28.0,36.76,5.28,16.39,0.0,18.76,26.45,3.67,16.39
26.5,32.5,2024,108,27.86,35.8,3.27,17.69,0.0,22.06,27.51,1.54,17.69
27.5,27.5,2024,108,27.2,35.98,6.41,16.91,0.0,20.23,25.99,3.98,16.91
27.5,32.5,2024,108,28.3,34.16,4.24,17.25,0.0,17.71,26.14,2.05,17.25
28.5,27.5,2024,108,26.94,35.27,7.14,17.67,0.0,21.74,25.48,4.55,17.67
28.5,32.5,2024,108,27.92,34.48,5.08,17.99,0.0,19.66,25.59,2.08,17.99
29.5,27.5,2024,108,25.83,35.82,7.94,17.6,0.0,25.47,26.06,4.79,17.6
29.5,32.5,2024,108,26.82,31.32,4.42,20.07,0.0,38.68,24.91,2.52,20.07
30.5,27.5,2024,108,24.3,33.16,8.75,15.06,0.0,38.1,23.04,4.72,15.06
30.5,32.5,2024,108,27.03,35.62,5.71,16.55,0.0,36.85,26.23,3.73,16.55
31.5,27.5,2024,108,19.01,25.91,7.84,17.96,0.0,69.52,20.84,5.78,17.96
31.5,32.5,2024,108,24.9,25.61,5.21,20.83,0.0,70.84,23.01,3.66,20.83
23.5,27.5,2024,109,24.96,33.61,6.12,18.53,0.0,24.66,25.63,4.41,18.53
23.5,32.5,2024,109,27.23,39.53,6.08,21.62,0.0,19.21,30.51,2.54,21.62
24.5,27.5,2024,109,24.18,31.37,5.55,18.34,0.0,28.8,24.16,4.48,18.34
24.5,32.5,2024,109,26.92,38.92,4.97,21.62,0.0,16.86,29.78,2.71,21.62
25.5,27.5,2024,109,24.16,30.78,5.41,18.54,0.0,30.69,23.9,4.01,18.54
25.5,32.5,2024,109,23.17,37.54,5.85,20.56,0.0,17.72,28.86,3.06,20.56
26.5,27.5,2024,109,24.29,30.31,5.64,17.51,0.0,33.33,23.39,3.7,17.51
26.5,32.5,2024,109,22.94,36.59,6.15,19.9,0.0,19.55,27.65,2.76,19.9
27.5,27.5,2024,109,24.03,29.45,5.62,16.82,0.0,36.47,22.66,3.74,16.82
27.5,32.5,2024,109,21.12,33.85,5.97,17.85,0.0,20.53,25.24,3.08,17.85
28.5,27.5,2024,109,24.02,28.95,5.49,16.87,0.0,40.26,22.38,3.56,16.87
28.5,32.5,2024,109,19.67,31.65,4.02,17.95,0.0,25.17,23.94,2.64,17.95
29.5,27.5,2024,109,24.6,31.28,5.18,17.56,0.0,38.32,23.91,2.89,17.56
29.5,32.5,2024,109,18.76,27.81,4.55,18.67,0.0,49.03,23.05,2.81,18.67
30.5,27.5,2024,109,27.11,28.34,4.91,14.6,0.0,58.29,20.57,3.68,14.6
30.5,32.5,2024,109,21.27,31.54,5.85,17.82,0.0,48.31,23.75,3.11,17.82
31.5,27.5,2024,109,24.2,20.84,6.75,17.76,0.0,79.94,19.14,5.58,17.76
31.5,32.5,2024,109,19.67,22.45,6.02,19.68,0.0,83.35,20.79,5.23,19.68
23.5,27.5,2024,110,28.11,31.9,5.93,16.79,0.0,21.75,23.68,3.67,16.79
23.5,32.5,2024,110,26.75,36.84,5.04,21.43,0.0,21.66,28.71,3.73,21.43
24.5,27.5,2024,110,27.71,30.62,5.52,14.57,0.0,23.91,22.25,3.63,14.57
24.5,32.5,2024,110,27.2,36.2,4.71,19.99,0.0,21.23,27.34,3.84,19.99
25.5,27.5,2024,110,29.11,30.51,4.77,13.9,0.0,25.97,21.96,3.07,13.9
25.5,32.5,2024,110,28.04,35.26,5.3,18.38,0.0,23.89,26.38,3.83,18.38
26.5,27.5,2024,110,28.81,30.72,4.32,14.12,0.0,28.97,22.2,2.78,14.12
26.5,32.5,2024,110,27.86,34.13,5.22,17.65,0.0,25.4,25.46,3.51,17.65
27.5,27.5,2024,110,28.32,30.37,4.24,13.93,0.0,33.47,22.22,2.7,13.93
27.5,32.5,2024,110,28.24,31.62,5.04,15.77,0.0,30.78,23.3,3.42,15.77
28.5,27.5,2024,110,27.74,29.54,3.8,14.02,0.0,39.59,22.44,1.97,14.02
28.5,32.5,2024,110,28.04,28.12,5.28,13.92,0.0,48.62,20.64,3.77,13.92
29.5,27.5,2024,110,26.8,31.35,2.34,14.44,0.0,50.37,23.35,1.45,14.44
29.5,32.5,2024,110,28.16,26.17,4.12,16.32,0.0,62.95,20.93,3.24,16.32
30.5,27.5,2024,110,26.75,29.38,2.26,11.72,0.0,55.65,20.69,1.4,11.72
30.5,32.5,2024,110,27.82,28.48,4.31,15.15,0.0,63.48,20.96,2.39,15.15
31.5,27.5,2024,110,24.05,21.69,6.01,16.83,0.0,72.35,19.33,3.14,16.83
31.5,32.5,2024,110,24.24,19.53,3.37,18.5,0.0,81.96,18.85,2.88,18.5
23.5,27.5,2024,111,28.38,33.19,4.16,15.69,0.0,16.14,24.19,3.05,15.69
23.5,32.5,2024,111,29.26,36.16,4.6,19.02,0.0,19.75,27.42,3.54,19.02
24.5,27.5,2024,111,27.97,31.65,4.15,14.71,0.0,17.62,22.9,2.63,14.71
24.5,32.5,2024,111,29.59,34.91,4.82,17.38,0.0,18.84,25.92,3.47,17.38
25.5,27.5,2024,111,29.08,32.08,3.43,14.86,0.0,21.11,23.3,2.12,14.86
25.5,32.5,2024,111,29.33,34.54,4.64,16.35,0.0,20.35,25.62,3.27,16.35
26.5,27.5,2024,111,28.7,33.07,3.26,16.01,0.0,25.94,24.34,1.91,16.01
26.5,32.5,2024,111,29.23,34.21,4.63,15.76,0.0,21.48,25.18,3.46,15.76
27.5,27.5,2024,111,27.58,33.43,4.88,18.87,0.0,26.62,25.4,1.89,18.87
27.5,32.5,2024,111,29.29,32.85,5.67,13.3,0.0,25.7,23.3,3.73,13.3
28.5,27.5,2024,111,27.1,32.57,4.38,18.69,0.0,28.55,25.25,2.99,18.69
28.5,32.5,2024,111,28.85,29.75,6.65,12.15,0.0,37.76,21.31,4.17,12.15
29.5,27.5,2024,111,25.26,33.71,5.58,18.49,0.0,32.14,25.34,3.71,18.49
29.5,32.5,2024,111,27.42,28.69,6.06,14.05,0.0,59.0,21.36,3.55,14.05
30.5,27.5,2024,111,25.31,27.83,6.1,14.06,0.0,44.93,21.24,4.47,14.06
30.5,32.5,2024,111,25.61,31.93,5.55,12.39,0.0,59.79,21.51,3.03,12.39
31.5,27.5,2024,111,23.05,21.34,7.13,17.32,0.0,72.49,19.14,6.39,17.32
31.5,32.5,2024,111,23.32,20.25,6.9,18.32,0.0,77.13,19.5,3.52,18.32
23.5,27.5,2024,112,28.47,33.87,5.22,16.41,0.0,18.83,24.79,3.34,16.41
23.5,32.5,2024,112,28.59,36.34,6.5,19.13,0.0,18.99,27.95,4.38,19.13
24.5,27.5,2024,112,28.01,32.98,4.28,15.12,0.0,22.46,23.79,2.97,15.12
24.5,32.5,2024,112,28.35,36.03,5.24,19.16,0.0,17.85,27.47,4.12,19.16
25.5,27.5,2024,112,27.72,32.92,3.9,15.1,0.0,25.76,23.75,2.76,15.1
25.5,32.5,2024,112,27.41,36.5,5.13,18.72,0.0,19.43,27.57,3.56,18.72
26.5,27.5,2024,112,27.81,32.74,4.21,15.84,0.0,27.68,23.81,2.75,15.84
26.5,32.5,2024,112,27.66,35.53,5.79,18.27,0.0,23.99,26.5,4.0,18.27
27.5,27.5,2024,112,28.2,31.98,4.44,15.53,0.0,31.11,23.25,2.82,15.53
27.5,32.5,2024,112,27.98,32.91,6.23,15.58,0.0,32.32,23.84,4.08,15.58
28.5,27.5,2024,112,27.92,29.54,4.53,13.89,0.0,39.9,21.6,2.66,13.89
28.5,32.5,2024,112,28.3,31.04,5.06,14.57,0.0,45.24,21.66,3.79,14.57
29.5,27.5,2024,112,27.53,29.87,4.29,13.79,0.0,43.64,22.03,1.97,13.79
29.5,32.5,2024,112,28.03,27.07,5.25,15.99,0.0,59.0,20.97,3.43,15.99
30.5,27.5,2024,112,28.24,26.54,3.57,10.75,0.0,56.44,18.71,1.74,10.75
30.5,32.5,2024,112,28.41,28.6,5.11,15.2,0.0,58.65,20.67,2.81,15.2
31.5,27.5,2024,112,25.81,19.89,5.1,16.44,0.0,71.85,18.22,2.63,16.44
31.5,32.5,2024,112,27.11,19.65,5.18,18.75,0.0,78.75,18.97,3.57,18.75
23.5,27.5,2024,113,29.42,35.19,4.62,16.97,0.0,15.33,25.6,2.94,16.97
23.5,32.5,2024,113,28.89,37.18,5.56,19.8,0.0,18.51,28.7,3.87,19.8
24.5,27.5,2024,113,29.06,34.96,4.49,15.67,0.0,15.41,24.91,2.68,15.67
24.5,32.5,2024,113,29.29,36.9,4.3,17.75,0.0,14.83,27.36,3.05,17.75
25.5,27.5,2024,113,29.3,35.58,5.19,15.61,0.0,14.9,25.48,3.02,15.61
25.5,32.5,2024,113,29.13,37.36,3.49,16.66,0.0,14.97,26.9,2.36,16.66
26.5,27.5,2024,113,27.92,36.4,5.15,15.7,0.0,14.85,25.98,3.18,15.7
26.5,32.5,2024,113,28.91,36.69,4.75,16.61,0.0,15.61,26.3,3.09,16.61
27.5,27.5,2024,113,26.68,35.58,4.92,16.11,0.0,16.32,25.4,3.32,16.11
27.5,32.5,2024,113,28.83,33.71,6.08,14.95,0.0,18.89,24.28,3.85,14.95
28.5,27.5,2024,113,25.96,35.8,4.84,16.06,0.0,19.66,25.52,3.38,16.06
28.5,32.5,2024,113,27.81,31.83,5.63,12.84,0.0,29.57,22.62,3.69,12.84
29.5,27.5,2024,113,25.55,36.54,4.21,15.29,0.0,27.68,25.79,3.14,15.29
29.5,32.5,2024,113,27.23,30.6,4.15,13.98,0.0,49.63,22.07,2.71,13.98
30.5,27.5,2024,113,25.5,33.73,5.59,13.44,0.0,40.12,23.14,3.91,13.44
30.5,32.5,2024,113,26.05,31.25,4.59,12.54,0.0,51.97,21.41,3.51,12.54
31.5,27.5,2024,113,23.55,23.45,7.28,18.28,0.0,72.5,20.64,6.0,18.28
31.5,32.5,2024,113,24.39,20.73,5.54,18.94,0.0,79.24,19.8,4.57,18.94
23.5,27.5,2024,114,30.35,36.1,3.9,17.94,0.0,9.6,27.1,2.01,17.94
23.5,32.5,2024,114,29.12,40.18,5.64,20.19,0.0,19.42,30.39,3.64,20.19
24.5,27.5,2024,114,30.32,36.13,4.26,19.46,0.0,9.27,27.1,2.08,19.46
24.5,32.5,2024,114,29.17,40.2,5.05,19.26,0.0,12.46,29.29,2.58,19.26
25.5,27.5,2024,114,29.41,37.32,4.6,19.72,0.0,8.84,27.88,2.25,19.72
25.5,32.5,2024,114,28.35,40.67,5.26,19.58,0.0,11.02,29.9,2.56,19.58
26.5,27.5,2024,114,29.04,38.29,5.11,17.89,0.0,9.31,27.71,2.66,17.89
26.5,32.5,2024,114,28.35,39.31,6.14,20.74,0.0,11.53,29.45,3.39,20.74
27.5,27.5,2024,114,28.99,38.62,6.11,19.49,0.0,10.78,27.9,3.32,19.49
27.5,32.5,2024,114,27.89,36.79,6.38,19.11,0.0,12.38,27.47,3.4,19.11
28.5,27.5,2024,114,28.74,38.96,6.56,20.56,0.0,11.97,28.62,4.05,20.56
28.5,32.5,2024,114,27.82,35.34,4.8,17.41,0.0,15.02,26.73,2.29,17.41
29.5,27.5,2024,114,27.15,40.49,7.09,19.33,0.0,13.7,29.23,3.75,19.33
29.5,32.5,2024,114,25.36,34.74,3.54,19.28,0.0,29.17,27.1,1.77,19.28
30.5,27.5,2024,114,26.49,38.07,7.88,17.86,0.0,16.25,27.26,4.12,17.86
30.5,32.5,2024,114,24.56,37.26,5.93,17.12,0.0,36.37,26.26,4.29,17.12
31.5,27.5,2024,114,21.53,26.89,6.95,19.75,0.0,55.53,23.26,5.33,19.75
31.5,32.5,2024,114,22.87,21.95,6.05,20.75,0.0,81.27,21.56,5.63,20.75
23.5,27.5,2024,115,28.94,38.09,3.71,22.99,0.0,9.11,30.36,1.56,22.99
23.5,32.5,2024,115,29.08,40.6,3.39,22.27,0.0,17.59,31.74,1.96,22.27
24.5,27.5,2024,115,29.71,38.06,4.43,22.38,0.0,8.98,29.52,2.04,22.38
24.5,32.5,2024,115,29.21,40.56,3.35,20.89,0.0,13.02,30.59,1.5,20.89
25.5,27.5,2024,115,29.31,39.25,4.87,19.94,0.0,8.38,29.89,2.3,19.94
25.5,32.5,2024,115,28.79,41.81,3.54,21.46,0.0,10.69,31.15,1.86,21.46
26.5,27.5,2024,115,27.72,40.15,5.16,19.68,0.0,8.73,29.77,2.61,19.68
26.5,32.5,2024,115,28.65,40.72,4.41,21.17,0.0,9.02,30.68,2.59,21.17
27.5,27.5,2024,115,27.27,40.22,5.16,19.91,0.0,10.62,29.43,2.93,19.91
27.5,32.5,2024,115,28.65,38.27,5.41,20.12,0.0,9.39,29.01,2.91,20.12
28.5,27.5,2024,115,25.11,40.38,5.21,22.13,0.0,11.6,29.91,3.28,22.13
28.5,32.5,2024,115,28.58,37.66,4.34,21.99,0.0,10.01,29.21,2.26,21.99
29.5,27.5,2024,115,22.65,39.03,4.43,22.24,0.0,13.28,29.46,2.95,22.24
29.5,32.5,2024,115,27.6,35.12,3.33,23.9,0.0,23.3,28.54,2.01,23.9
30.5,27.5,2024,115,20.34,34.48,6.69,18.28,0.0,24.24,25.78,3.46,18.28
30.5,32.5,2024,115,26.96,40.81,4.87,20.87,0.0,17.3,30.24,2.81,20.87
31.5,27.5,2024,115,13.38,23.37,6.64,18.8,0.0,70.56,20.91,5.06,18.8
31.5,32.5,2024,115,24.81,27.22,5.0,21.62,0.0,66.62,24.08,3.58,21.62
23.5,27.5,2024,116,26.69,38.57,6.15,20.03,0.0,13.3,29.2,2.98,20.03
23.5,32.5,2024,116,28.1,41.51,4.58,22.8,0.0,17.59,32.55,1.98,22.8
24.5,27.5,2024,116,23.13,37.15,7.57,18.18,0.0,20.53,26.52,3.81,18.18
24.5,32.5,2024,116,28.24,41.31,6.08,23.36,0.0,13.58,31.92,1.84,23.36
25.5,27.5,2024,116,19.54,33.73,6.47,18.36,0.0,28.62,25.07,3.95,18.36
25.5,32.5,2024,116,28.34,41.78,5.21,23.74,0.0,10.56,32.42,1.84,23.74
26.5,27.5,2024,116,19.47,32.79,5.98,19.63,0.0,30.95,25.14,3.92,19.63
26.5,32.5,2024,116,28.32,40.79,3.6,22.33,0.0,8.55,31.73,2.07,22.33
27.5,27.5,2024,116,19.78,31.17,5.38,20.05,0.0,31.7,24.87,4.17,20.05
27.5,32.5,2024,116,27.14,39.47,4.86,23.13,0.0,8.22,30.71,2.48,23.13
28.5,27.5,2024,116,20.23,30.07,5.45,18.96,0.0,33.54,24.14,4.34,18.96
28.5,32.5,2024,116,23.74,39.2,5.65,20.85,0.0,12.01,29.94,2.94,20.85
29.5,27.5,2024,116,20.85,32.3,6.02,18.14,0.0,36.77,24.55,4.61,18.14
29.5,32.5,2024,116,21.61,35.33,6.64,20.89,0.0,28.26,28.09,2.73,20.89
30.5,27.5,2024,116,20.33,27.17,7.47,14.49,0.0,53.86,20.24,5.98,14.49
30.5,32.5,2024,116,17.79,39.95,8.6,20.93,0.0,26.13,28.44,3.03,20.93
31.5,27.5,2024,116,16.14,20.3,8.34,17.85,0.0,78.13,19.05,6.12,17.85
31.5,32.5,2024,116,13.86,23.46,9.33,21.09,0.0,81.06,22.16,4.47,21.09
23.5,27.5,2024,117,22.64,32.53,6.98,19.72,0.0,19.66,25.52,5.26,19.72
23.5,32.5,2024,117,25.2,41.33,6.54,24.88,0.0,18.86,32.89,4.01,24.88
24.5,27.5,2024,117,18.84,30.38,6.81,18.07,0.0,20.46,23.8,5.29,18.07
24.5,32.5,2024,117,25.29,40.81,5.81,24.68,0.0,18.44,31.74,4.54,24.68
25.5,27.5,2024,117,15.27,29.91,6.54,16.94,0.0,22.79,22.84,4.63,16.94
25.5,32.5,2024,117,23.68,40.63,8.24,24.33,0.0,20.17,30.77,4.52,24.33
26.5,27.5,2024,117,24.18,29.99,6.49,16.07,0.0,26.48,22.43,4.22,16.07
26.5,32.5,2024,117,22.38,39.5,8.84,23.32,0.0,19.37,29.68,4.16,23.32
27.5,27.5,2024,117,26.63,29.0,5.81,15.04,0.0,32.42,21.6,3.98,15.04
27.5,32.5,2024,117,22.48,36.86,6.75,21.03,0.0,23.33,27.48,3.72,21.03
28.5,27.5,2024,117,24.96,28.52,5.21,14.64,0.0,38.94,21.21,3.49,14.64
28.5,32.5,2024,117,24.45,31.92,5.8,17.12,0.0,37.26,23.61,4.56,17.12
29.5,27.5,2024,117,24.65,30.45,5.55,15.12,0.0,44.17,22.26,3.39,15.12
29.5,32.5,2024,117,24.86,26.74,6.06,18.68,0.0,59.04,21.86,4.92,18.68
30.5,27.5,2024,117,24.03,26.0,5.85,13.56,0.0,60.14,18.96,4.56,13.56
30.5,32.5,2024,117,23.34,26.8,5.75,18.14,0.0,58.83,21.52,3.75,18.14
31.5,27.5,2024,117,23.62,19.17,6.87,17.54,0.0,75.62,18.41,5.49,17.54
31.5,32.5,2024,117,17.99,21.43,6.76,19.97,0.0,82.74,20.68,5.95,19.97
23.5,27.5,2024,118,28.94,31.84,6.24,17.12,0.0,18.37,23.82,4.48,17.12
23.5,32.5,2024,118,24.55,37.42,6.97,23.75,0.0,22.67,30.35,4.22,23.75
24.5,27.5,2024,118,27.92,29.92,5.8,15.23,0.0,20.76,22.22,4.1,15.23
24.5,32.5,2024,118,26.0,36.17,5.79,22.59,0.0,22.66,28.61,4.62,22.59
25.5,27.5,2024,118,29.13,29.49,4.82,14.44,0.0,22.89,21.83,3.38,14.44
25.5,32.5,2024,118,25.22,34.89,5.97,20.83,0.0,25.33,27.25,4.56,20.83
26.5,27.5,2024,118,28.98,29.82,4.9,13.77,0.0,25.01,21.62,3.03,13.77
26.5,32.5,2024,118,25.28,34.22,6.16,20.48,0.0,29.42,26.35,4.02,20.48
27.5,27.5,2024,118,29.6,28.82,4.85,13.01,0.0,31.05,20.72,3.06,13.01
27.5,32.5,2024,118,27.23,32.41,5.92,17.19,0.0,35.68,23.98,3.85,17.19
28.5,27.5,2024,118,29.43,27.98,4.7,13.47,0.0,37.48,20.47,3.06,13.47
28.5,32.5,2024,118,27.55,29.35,5.97,14.55,0.0,45.19,21.13,4.7,14.55
29.5,27.5,2024,118,28.8,30.85,4.49,14.4,0.0,42.28,21.81,3.07,14.4
29.5,32.5,2024,118,26.94,26.76,5.85,16.48,0.0,59.46,21.24,4.54,16.48
30.5,27.5,2024,118,29.14,26.99,4.88,11.89,0.0,57.75,18.5,3.6,11.89
30.5,32.5,2024,118,26.03,29.24,4.73,14.9,0.0,60.32,21.43,3.21,14.9
31.5,27.5,2024,118,27.12,19.08,5.58,16.55,0.0,75.43,17.99,4.31,16.55
31.5,32.5,2024,118,23.07,20.57,6.39,19.7,0.0,82.2,20.25,5.28,19.7
23.5,27.5,2024,119,29.31,32.41,5.5,14.3,0.0,15.76,23.35,3.96,14.3
23.5,32.5,2024,119,28.51,36.83,6.09,21.05,0.0,19.49,28.79,4.45,21.05
24.5,27.5,2024,119,29.7,31.34,5.25,13.38,0.0,17.19,22.46,3.7,13.38
24.5,32.5,2024,119,28.35,35.69,5.63,19.25,0.0,19.18,27.2,4.55,19.25
25.5,27.5,2024,119,29.5,31.5,5.1,13.61,0.0,19.3,22.65,3.32,13.61
25.5,32.5,2024,119,28.76,36.03,5.43,17.64,0.0,20.91,26.85,4.18,17.64
26.5,27.5,2024,119,29.22,31.83,5.16,13.94,0.0,21.88,23.05,3.24,13.94
26.5,32.5,2024,119,28.6,35.47,5.79,17.55,0.0,24.21,26.42,3.94,17.55
27.5,27.5,2024,119,28.86,30.27,5.05,13.03,0.0,29.12,22.12,3.18,13.03
27.5,32.5,2024,119,29.1,33.34,5.99,15.1,0.0,33.74,24.32,4.1,15.1
28.5,27.5,2024,119,28.27,28.8,4.86,12.89,0.0,41.47,20.92,2.91,12.89
28.5,32.5,2024,119,28.6,29.37,6.93,13.8,0.0,49.27,21.37,5.09,13.8
29.5,27.5,2024,119,28.24,29.69,4.99,13.81,0.0,50.15,21.47,2.86,13.81
29.5,32.5,2024,119,26.91,27.48,5.38,16.69,0.0,62.7,21.47,4.64,16.69
30.5,27.5,2024,119,28.95,28.03,6.37,12.66,0.0,60.73,19.12,3.6,12.66
30.5,32.5,2024,119,25.94,29.75,5.59,16.49,0.01,61.42,21.78,3.44,16.49
31.5,27.5,2024,119,26.59,20.36,4.85,17.77,0.0,74.76,19.05,3.71,17.77
31.5,32.5,2024,119,25.24,20.67,5.99,19.71,0.0,82.0,20.16,4.93,19.71
23.5,27.5,2024,120,28.74,33.97,3.89,16.65,0.0,19.64,24.94,3.08,16.65
23.5,32.5,2024,120,29.09,37.06,6.1,21.06,0.0,17.52,28.73,4.63,21.06
24.5,27.5,2024,120,28.54,33.2,4.37,15.79,0.0,22.92,24.06,2.96,15.79
24.5,32.5,2024,120,29.13,36.63,5.53,19.37,0.0,16.14,27.4,4.44,19.37
25.5,27.5,2024,120,28.5,33.06,4.82,15.82,0.0,24.11,24.1,2.73,15.82
25.5,32.5,2024,120,29.23,35.79,6.26,17.96,0.0,18.16,26.63,4.29,17.96
26.5,27.5,2024,120,28.3,31.7,4.63,15.71,0.0,24.96,23.58,2.67,15.71
26.5,32.5,2024,120,29.16,35.35,6.2,16.96,0.0,23.14,26.01,4.23,16.96
27.5,27.5,2024,120,28.43,30.47,4.64,14.59,0.0,29.89,22.08,2.71,14.59
27.5,32.5,2024,120,29.22,33.58,5.57,14.14,0.0,31.05,23.99,4.0,14.14
28.5,27.5,2024,120,28.36,28.58,4.32,13.49,0.0,38.66,21.11,2.9,13.49
28.5,32.5,2024,120,28.72,29.82,5.86,12.57,0.0,48.9,20.94,4.79,12.57
29.5,27.5,2024,120,27.73,31.23,5.09,14.18,0.0,46.91,22.17,3.27,14.18
29.5,32.5,2024,120,27.86,27.08,5.68,15.26,0.0,63.8,21.08,4.71,15.26
30.5,27.5,2024,120,28.66,27.04,5.62,12.32,0.0,61.45,19.0,3.66,12.32
30.5,32.5,2024,120,27.47,29.37,5.28,14.86,0.0,62.16,21.36,3.41,14.86
31.5,27.5,2024,120,25.79,20.26,5.16,17.89,0.0,75.29,19.06,3.92,17.89
31.5,32.5,2024,120,25.65,20.41,5.85,19.49,0.0,83.24,19.89,5.02,19.49
23.5,27.5,2024,121,28.75,35.05,2.87,16.66,0.0,15.73,25.7,2.0,16.66
23.5,32.5,2024,121,29.05,36.75,6.09,19.28,0.0,18.89,28.29,4.26,19.28
24.5,27.5,2024,121,28.55,34.45,3.35,16.27,0.0,15.95,25.0,2.16,16.27
24.5,32.5,2024,121,28.72,35.88,6.45,18.53,0.0,17.89,27.16,4.58,18.53
25.5,27.5,2024,121,28.55,34.13,3.12,16.21,0.0,17.38,24.89,2.24,16.21
25.5,32.5,2024,121,28.79,35.89,7.44,17.69,0.0,20.04,26.59,4.62,17.69
26.5,27.5,2024,121,28.47,33.53,3.6,16.1,0.0,21.5,24.42,2.4,16.1
26.5,32.5,2024,121,28.95,35.0,7.57,16.97,0.0,23.72,25.62,4.48,16.97
27.5,27.5,2024,121,28.44,32.07,3.93,14.96,0.0,29.75,23.35,2.55,14.96
27.5,32.5,2024,121,29.66,32.38,7.69,14.97,0.0,30.96,23.39,4.66,14.97
28.5,27.5,2024,121,28.07,30.43,4.09,13.46,0.0,45.49,22.06,2.88,13.46
28.5,32.5,2024,121,29.6,30.1,6.37,12.92,0.0,39.43,21.22,4.35,12.92
29.5,27.5,2024,121,27.7,32.94,5.42,14.43,0.0,52.84,23.15,3.31,14.43
