-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
26.5,31.5,2024,3,14.89
26.5,32.5,2024,3,15.43
26.5,33.5,2024,3,15.72
27.5,26.5,2024,3,15.28
27.5,27.5,2024,3,15.37
27.5,28.5,2024,3,15.21
27.5,29.5,2024,3,15.13
27.5,30.5,2024,3,14.39
27.5,31.5,2024,3,15.03
27.5,32.5,2024,3,15.4
27.5,33.5,2024,3,14.82
28.5,26.5,2024,3,14.79
28.5,27.5,2024,3,14.87
28.5,28.5,2024,3,14.09
28.5,29.5,2024,3,14.11
28.5,30.5,2024,3,14.05
28.5,31.5,2024,3,14.39
28.5,32.5,2024,3,14.77
28.5,33.5,2024,3,14.73
29.5,26.5,2024,3,13.76
29.5,27.5,2024,3,14.08
29.5,28.5,2024,3,14.09
29.5,29.5,2024,3,14.17
29.5,30.5,2024,3,13.92
29.5,31.5,2024,3,13.91
29.5,32.5,2024,3,14.09
29.5,33.5,2024,3,14.54
30.5,26.5,2024,3,13.6
30.5,27.5,2024,3,13.6
30.5,28.5,2024,3,13.67
30.5,29.5,2024,3,13.49
30.5,30.5,2024,3,13.06
30.5,31.5,2024,3,12.85
30.5,32.5,2024,3,12.69
30.5,33.5,2024,3,13.31
31.5,26.5,2024,3,12.6
31.5,27.5,2024,3,11.6
31.5,28.5,2024,3,11.77
31.5,29.5,2024,3,11.33
31.5,30.5,2024,3,11.58
31.5,31.5,2024,3,10.44
31.5,32.5,2024,3,9.58
31.5,33.5,2024,3,8.74
23.5,26.5,2024,4,17.17
23.5,27.5,2024,4,16.78
23.5,28.5,2024,4,16.8
23.5,29.5,2024,4,16.81
23.5,30.5,2024,4,16.91
23.5,31.5,2024,4,17.27
23.5,32.5,2024,4,17.06
23.5,33.5,2024,4,16.98
24.5,26.5,2024,4,16.8
24.5,27.5,2024,4,15.73
24.5,28.5,2024,4,15.01
24.5,29.5,2024,4,16.21
24.5,30.5,2024,4,16.34
24.5,31.5,2024,4,16.85
24.5,32.5,2024,4,16.66
24.5,33.5,2024,4,16.39
25.5,26.5,2024,4,15.87
25.5,27.5,2024,4,15.99
25.5,28.5,2024,4,14.75
25.5,29.5,2024,4,15.33
25.5,30.5,2024,4,15.77
25.5,31.5,2024,4,16.18
25.5,32.5,2024,4,15.83
25.5,33.5,2024,4,16.03
26.5,26.5,2024,4,15.51
26.5,27.5,2024,4,15.2
26.5,28.5,2024,4,15.63
26.5,29.5,2024,4,15.51
26.5,30.5,2024,4,15.48
26.5,31.5,2024,4,15.57
26.5,32.5,2024,4,15.5
26.5,33.5,2024,4,15.61
27.5,26.5,2024,4,15.23
27.5,27.5,2024,4,15.3
27.5,28.5,2024,4,15.39
27.5,29.5,2024,4,14.95
27.5,30.5,2024,4,14.73
27.5,31.5,2024,4,15.36
27.5,32.5,2024,4,15.49
27.5,33.5,2024,4,14.75
28.5,26.5,2024,4,14.81
28.5,27.5,2024,4,14.92
28.5,28.5,2024,4,14.87
28.5,29.5,2024,4,14.39
28.5,30.5,2024,4,14.18
28.5,31.5,2024,4,14.88
28.5,32.5,2024,4,14.73
28.5,33.5,2024,4,14.58
29.5,26.5,2024,4,14.36
29.5,27.5,2024,4,14.3
29.5,28.5,2024,4,14.4
29.5,29.5,2024,4,14.02
29.5,30.5,2024,4,13.69
29.5,31.5,2024,4,13.73
29.5,32.5,2024,4,13.74
29.5,33.5,2024,4,13.79
30.5,26.5,2024,4,13.56
30.5,27.5,2024,4,13.85
30.5,28.5,2024,4,13.96
30.5,29.5,2024,4,13.6
30.5,30.5,2024,4,13.25
30.5,31.5,2024,4,13.2
30.5,32.5,2024,4,13.4
30.5,33.5,2024,4,13.5
31.5,26.5,2024,4,12.56
31.5,27.5,2024,4,12.28
31.5,28.5,2024,4,12.45
31.5,29.5,2024,4,12.43
31.5,30.5,2024,4,12.38
31.5,31.5,2024,4,11.02
31.5,32.5,2024,4,10.77
31.5,33.5,2024,4,11.69
23.5,26.5,2024,5,18.04
23.5,27.5,2024,5,17.86
23.5,28.5,2024,5,17.09
23.5,29.5,2024,5,16.95
23.5,30.5,2024,5,17.41
23.5,31.5,2024,5,17.5
23.5,32.5,2024,5,17.27
23.5,33.5,2024,5,16.88
24.5,26.5,2024,5,17.42
24.5,27.5,2024,5,17.33
24.5,28.5,2024,5,17.24
24.5,29.5,2024,5,17.14
24.5,30.5,2024,5,16.97
24.5,31.5,2024,5,17.03
24.5,32.5,2024,5,16.83
24.5,33.5,2024,5,16.25
25.5,26.5,2024,5,16.14
25.5,27.5,2024,5,16.77
25.5,28.5,2024,5,16.46
