-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
23.5,25.5,2023,1,15.09
23.5,26.5,2023,1,15.74
23.5,27.5,2023,1,16.74
23.5,28.5,2023,1,16.66
23.5,29.5,2023,1,16.85
23.5,30.5,2023,1,16.89
23.5,31.5,2023,1,17.03
23.5,32.5,2023,1,16.89
23.5,33.5,2023,1,16.3
24.5,25.5,2023,1,14.14
24.5,26.5,2023,1,15.03
24.5,27.5,2023,1,15.94
24.5,28.5,2023,1,16.06
24.5,29.5,2023,1,16.3
24.5,30.5,2023,1,16.24
24.5,31.5,2023,1,16.62
24.5,32.5,2023,1,16.48
24.5,33.5,2023,1,15.98
25.5,25.5,2023,1,14.99
25.5,26.5,2023,1,15.42
25.5,27.5,2023,1,15.76
25.5,28.5,2023,1,15.54
25.5,29.5,2023,1,15.64
25.5,30.5,2023,1,15.43
25.5,31.5,2023,1,16.06
25.5,32.5,2023,1,15.84
25.5,33.5,2023,1,15.69
26.5,25.5,2023,1,15.05
26.5,26.5,2023,1,15.09
26.5,27.5,2023,1,15.12
26.5,28.5,2023,1,15.03
26.5,29.5,2023,1,15.04
26.5,30.5,2023,1,15.09
26.5,31.5,2023,1,15.34
26.5,32.5,2023,1,15.29
26.5,33.5,2023,1,15.04
27.5,25.5,2023,1,14.42
27.5,26.5,2023,1,14.52
27.5,27.5,2023,1,14.3
27.5,28.5,2023,1,14.19
27.5,29.5,2023,1,13.9
27.5,30.5,2023,1,14.15
27.5,31.5,2023,1,14.51
27.5,32.5,2023,1,14.63
27.5,33.5,2023,1,13.87
28.5,25.5,2023,1,13.68
28.5,26.5,2023,1,13.8
28.5,27.5,2023,1,13.52
28.5,28.5,2023,1,12.97
28.5,29.5,2023,1,12.95
28.5,30.5,2023,1,13.51
28.5,31.5,2023,1,14.04
28.5,32.5,2023,1,13.73
28.5,33.5,2023,1,13.29
29.5,25.5,2023,1,12.45
29.5,26.5,2023,1,12.94
29.5,27.5,2023,1,12.13
29.5,28.5,2023,1,11.87
29.5,29.5,2023,1,12.7
29.5,30.5,2023,1,12.72
29.5,31.5,2023,1,12.83
29.5,32.5,2023,1,12.9
29.5,33.5,2023,1,11.47
30.5,25.5,2023,1,12.02
30.5,26.5,2023,1,12.08
30.5,27.5,2023,1,10.79
30.5,28.5,2023,1,10.8
30.5,29.5,2023,1,10.92
30.5,30.5,2023,1,11.46
30.5,31.5,2023,1,10.17
30.5,32.5,2023,1,10.92
30.5,33.5,2023,1,10.21
31.5,25.5,2023,1,8.62
31.5,26.5,2023,1,9.51
31.5,27.5,2023,1,9.04
31.5,28.5,2023,1,9.58
31.5,29.5,2023,1,9.04
31.5,30.5,2023,1,8.7
31.5,31.5,2023,1,8.76
31.5,32.5,2023,1,8.67
31.5,33.5,2023,1,7.69
23.5,25.5,2023,2,15.25
23.5,26.5,2023,2,15.82
23.5,27.5,2023,2,16.36
23.5,28.5,2023,2,15.8
23.5,29.5,2023,2,15.93
23.5,30.5,2023,2,15.91
23.5,31.5,2023,2,17.11
23.5,32.5,2023,2,17.12
23.5,33.5,2023,2,16.75
24.5,25.5,2023,2,14.33
24.5,26.5,2023,2,15.27
24.5,27.5,2023,2,15.79
24.5,28.5,2023,2,15.16
24.5,29.5,2023,2,15.12
24.5,30.5,2023,2,14.72
24.5,31.5,2023,2,16.65
24.5,32.5,2023,2,16.66
24.5,33.5,2023,2,16.47
25.5,25.5,2023,2,15.43
25.5,26.5,2023,2,15.86
25.5,27.5,2023,2,15.63
25.5,28.5,2023,2,15.27
25.5,29.5,2023,2,13.49
25.5,30.5,2023,2,13.18
25.5,31.5,2023,2,15.34
25.5,32.5,2023,2,15.36
25.5,33.5,2023,2,16.12
26.5,25.5,2023,2,15.25
26.5,26.5,2023,2,15.32
26.5,27.5,2023,2,14.76
26.5,28.5,2023,2,14.79
26.5,29.5,2023,2,13.68
26.5,30.5,2023,2,12.24
26.5,31.5,2023,2,12.2
26.5,32.5,2023,2,15.01
26.5,33.5,2023,2,15.32
27.5,25.5,2023,2,14.06
27.5,26.5,2023,2,13.9
27.5,27.5,2023,2,13.4
27.5,28.5,2023,2,13.16
27.5,29.5,2023,2,13.55
27.5,30.5,2023,2,13.29
27.5,31.5,2023,2,12.02
27.5,32.5,2023,2,14.22
27.5,33.5,2023,2,13.5
28.5,25.5,2023,2,12.86
28.5,26.5,2023,2,12.99
28.5,27.5,2023,2,13.03
28.5,28.5,2023,2,12.46
28.5,29.5,2023,2,12.87
28.5,30.5,2023,2,12.96
28.5,31.5,2023,2,11.21
28.5,32.5,2023,2,13.64
28.5,33.5,2023,2,13.26
29.5,25.5,2023,2,9.98
29.5,26.5,2023,2,10.32
29.5,27.5,2023,2,11.28
29.5,28.5,2023,2,11.89
29.5,29.5,2023,2,11.88
29.5,30.5,2023,2,11.96
29.5,31.5,2023,2,12.46
29.5,32.5,2023,2,12.88
29.5,33.5,2023,2,13.1
30.5,25.5,2023,2,7.34
30.5,26.5,2023,2,8.56
30.5,27.5,2023,2,9.87
30.5,28.5,2023,2,11.24
30.5,29.5,2023,2,11.8
30.5,30.5,2023,2,11.86
30.5,31.5,2023,2,12.31
30.5,32.5,2023,2,12.48
30.5,33.5,2023,2,12.65
31.5,25.5,2023,2,5.98
31.5,26.5,2023,2,5.62
31.5,27.5,2023,2,7.23
31.5,28.5,2023,2,8.01
31.5,29.5,2023,2,9.84
31.5,30.5,2023,2,10.07
31.5,31.5,2023,2,10.39
31.5,32.5,2023,2,10.82
31.5,33.5,2023,2,10.55
23.5,25.5,2023,3,16.88
23.5,26.5,2023,3,17.62
23.5,27.5,2023,3,17.07
23.5,28.5,2023,3,16.99
23.5,29.5,2023,3,16.94
23.5,30.5,2023,3,16.73
23.5,31.5,2023,3,16.9
23.5,32.5,2023,3,16.91
23.5,33.5,2023,3,16.25
24.5,25.5,2023,3,16.52
24.5,26.5,2023,3,16.95
24.5,27.5,2023,3,16.41
24.5,28.5,2023,3,16.37
24.5,29.5,2023,3,16.33
24.5,30.5,2023,3,16.0
24.5,31.5,2023,3,16.56
24.5,32.5,2023,3,16.48
24.5,33.5,2023,3,15.81
25.5,25.5,2023,3,15.26
25.5,26.5,2023,3,15.55
25.5,27.5,2023,3,15.53
25.5,28.5,2023,3,15.28
25.5,29.5,2023,3,14.93
25.5,30.5,2023,3,15.29
25.5,31.5,2023,3,15.71
25.5,32.5,2023,3,15.47
25.5,33.5,2023,3,15.89
26.5,25.5,2023,3,14.62
26.5,26.5,2023,3,14.47
26.5,27.5,2023,3,14.71
26.5,28.5,2023,3,14.84
26.5,29.5,2023,3,14.15
26.5,30.5,2023,3,14.36
26.5,31.5,2023,3,14.8
26.5,32.5,2023,3,14.72
26.5,33.5,2023,3,14.68
27.5,25.5,2023,3,13.9
